alpha,p,eps,kB,c_damp,min_d,conv_rate,t_goal_mean,overshoot_mean,curv95_mean,bndry_comp
0.8,2.5,0.03,1.4,1.2,0.10404051791304214,1.0,15.1,0.00026224543832834387,601.7778301468873,0.21250000000000002
0.8,2.5,0.05,0.6,1.2,0.10179279475998715,1.0,15.1,0.00026203810379566534,601.2473766155324,0.21412037037037038
0.8,2.5,0.05,1.0,1.2,0.10179279475998715,1.0,15.1,0.00026201972851528407,601.3491289463252,0.21354166666666669
0.8,2.5,0.05,1.4,1.2,0.10179279475998715,1.0,15.1,0.0002620013531530386,601.1399304254126,0.2127314814814815
0.8,2.5,0.08,0.6,1.2,0.09632579905933691,1.0,15.080000000000002,0.0002614453998332934,597.2906668148478,0.21481481481481482
0.8,2.5,0.08,1.0,1.2,0.09632579905933691,1.0,15.069999999999999,0.0002614269676299057,596.9644654817608,0.21377314814814816
0.8,2.5,0.08,1.4,1.2,0.09632579905933691,1.0,15.069999999999999,0.000261408535344466,596.6659280514443,0.21319444444444446
1.2,1.5,0.03,0.6,1.2,0.18469430031119893,1.0,15.84,0.0003084303458776678,1980.663414650328,0.20925925925925926
1.2,1.5,0.03,1.0,1.2,0.18469430031119893,1.0,15.830000000000002,0.0003084128691927939,1979.1736368681213,0.20868055555555556
1.2,1.5,0.03,1.4,1.2,0.18469430031119893,1.0,15.830000000000002,0.0003083953924045379,1983.55351432846,0.20763888888888887
1.2,1.5,0.05,0.6,1.2,0.18295649414234727,1.0,15.820000000000002,0.00030819776776040594,1978.9791469001138,0.20960648148148148
1.2,1.5,0.05,1.0,1.2,0.18295649414234727,1.0,15.830000000000002,0.0003081802645538823,1981.6240902188456,0.20902777777777778
1.2,1.5,0.05,1.4,1.2,0.18295649414234727,1.0,15.830000000000002,0.0003081627612439734,1987.851565673101,0.20775462962962965
1.2,1.5,0.08,0.6,1.2,0.17872692127503453,1.0,15.820000000000002,0.00030763247862958704,1981.0056389479537,0.20983796296296298
1.2,1.5,0.08,1.0,1.2,0.17872692127503453,1.0,15.820000000000002,0.00030761491096509134,1990.3815547043093,0.20937499999999998
1.2,1.5,0.08,1.4,1.2,0.17872692127503453,1.0,15.820000000000002,0.00030759734319696076,2000.3087502319818,0.20810185185185187
1.2,2.0,0.03,0.6,1.2,0.18469430031119893,1.0,15.84,0.00030843273407485286,1983.2611386025578,0.21053240740740742
1.2,2.0,0.03,1.0,1.2,0.18469430031119893,1.0,15.84,0.00030841684954634023,1978.9166615308598,0.20972222222222223
1.2,2.0,0.03,1.4,1.2,0.18469430031119893,1.0,15.830000000000002,0.00030840096493466306,1979.2690904127126,0.20949074074074076
1.2,2.0,0.05,0.6,1.2,0.18295649414234727,1.0,15.820000000000002,0.000308200159748212,1978.932013008698,0.21099537037037036
