Lambda,p,eta,alpha,eps,kB,c_damp,min_d,conv_rate,t_goal_mean,overshoot_mean,curv95_mean,bndry_comp
10,1.5,0.02,0.1476,0.1,17.859138415139217,0.8,-0.010768330473158394,0.75,18.150000000000002,0.001934209639223837,519.6517465243564,0.17858796296296298
10,1.5,0.05,0.1476,0.1,44.64784603784804,0.8,-0.023471408988114062,0.75,18.666666666666668,0.001933564798576128,631.8580165085015,0.14490740740740743
10,1.5,0.1,0.1476,0.1,89.29569207569608,0.8,-0.0123430952627267,0.75,17.8,0.001932489787517414,410.0889245713155,0.11469907407407409
10,2.0,0.02,0.1476,0.1,63.141589397470554,0.8,-0.043711753894302485,0.75,18.900000000000002,0.0019331029363898438,687.3916161419922,0.16921296296296298
10,2.0,0.05,0.1476,0.1,157.8539734936764,0.8,-0.011674434970434078,0.75,16.683333333333334,0.001930796829819567,195.8654459245544,0.13842592592592592
10,2.0,0.1,0.1476,0.1,315.7079469873528,0.8,-0.010768330473158394,0.5,17.0,0.0019269498194329643,267.38529499568057,0.11689814814814815
10,2.5,0.02,0.1476,0.1,223.2392301892402,0.8,-0.022067937761603484,0.75,16.650000000000002,0.001929144227845798,195.47050487261748,0.15775462962962966
10,2.5,0.05,0.1476,0.1,558.0980754731005,0.8,-0.010768330473158394,0.5,18.650000000000002,0.0019230153647112396,402.8211460675939,0.13587962962962963
10,2.5,0.1,0.1476,0.1,1116.196150946201,0.8,-0.010768330473158394,0.0,inf,0.0019195090730614855,456.6953915044049,0.11886574074074073
12,1.5,0.02,0.1804,0.1,14.882615345949157,0.8,-0.027599413811161544,0.75,17.083333333333336,0.00196362537666595,432.17045397551544,0.18344907407407407
12,1.5,0.05,0.1804,0.1,37.20653836487289,0.8,-0.022413118216244976,0.75,18.21666666666667,0.00196310272529698,601.7466941859947,0.15231481481481482
12,1.5,0.1,0.1804,0.1,74.41307672974578,0.8,-0.020229563054571464,0.75,18.600000000000005,0.001962231452720755,471.1370004280251,0.12002314814814816
12,2.0,0.02,0.1804,0.1,52.617991164558134,0.8,-0.03167236387761879,0.75,16.150000000000002,0.0019627283599520156,366.67089883118774,0.17372685185185185
12,2.0,0.05,0.1804,0.1,131.54497791139534,0.8,-0.020770730081997868,0.75,17.833333333333332,0.00196085936434874,389.6436303641947,0.14224537037037038
12,2.0,0.1,0.1804,0.1,263.08995582279067,0.8,-0.020229563054571464,0.5,15.325,0.0019577420048272815,226.85586041099094,0.12222222222222223
12,2.5,0.02,0.1804,0.1,186.0326918243645,0.8,-0.020229563054571464,0.75,17.733333333333334,0.001959520020281338,373.10668192927284,0.16203703703703703
12,2.5,0.05,0.1804,0.1,465.08172956091124,0.8,-0.020229563054571464,0.5,17.225,0.0019528281598720013,267.57570825791686,0.1388888888888889
12,2.5,0.1,0.1804,0.1,930.1634591218225,0.8,-0.020229563054571464,0.0,inf,0.001941645288076662,594.7857696842801,0.12314814814814815
